age,female,male,total
0,55359,58649,114008
1,55884,59039,114923
2,55839,58721,114560
3,58024,61260,119284
4,56419,59825,116244
5,55491,59012,114503
6,55037,58259,113296
7,54800,57858,112658
8,53099,55695,108794
9,52791,55908,108699
10,52180,54901,107081
11,50890,53319,104209
12,48649,51412,100061
13,48492,51540,100032
14,47590,50159,97749
15,47892,51294,99186
16,48753,52075,100828
17,51433,54930,106363
18,55043,59303,114346
19,59713,63191,122904
20,62395,65509,127904
21,65043,68717,133760
22,66677,70380,137057
23,68255,71269,139524
24,65582,68113,133695
25,64809,67543,132352
26,62631,64434,127065
27,61849,64599,126448
28,60426,63986,124412
29,58779,62199,120978
30,57818,61068,118886
31,58314,61415,119729
32,58205,60722,118927
33,60080,62630,122710
34,58617,61120,119737
35,57076,59198,116274
36,57808,60299,118107
37,58812,61052,119864
38,61303,63295,124598
39,64028,66041,130069
40,63266,64953,128219
41,64348,66017,130365
42,64301,66035,130336
43,62909,64284,127193
44,61686,63400,125086
45,64499,66064,130563
46,67194,69752,136946
47,67673,70370,138043
48,67767,70368,138135
49,67787,69655,137442
50,62710,65313,128023
51,60144,61816,121960
52,58159,59707,117866
53,57698,58581,116279
54,57520,58927,116447
55,57362,58434,115796
56,58251,58619,116870
57,57754,59028,116782
58,57287,57390,114677
59,55851,56059,111910
60,56948,57265,114213
61,56463,56292,112755
62,55800,55179,110979
63,57736,57532,115268
64,59809,58871,118680
65,61696,60249,121945
66,61651,60413,122064
67,61772,60677,122449
68,60511,59620,120131
69,58815,57952,116767
70,54841,53017,107858
71,49460,48189,97649
72,43600,41429,85029
73,41126,38671,79797
74,40923,37574,78497
75,39037,34699,73736
76,36458,31947,68405
77,34926,29708,64634
78,32359,27360,59719
79,31152,24658,55810
80,29662,23059,52721
81,29645,22309,51954
82,28518,20425,48943
83,27813,19214,47027
84,25315,16728,42043
85,24518,15607,40125
86,22105,13214,35319
87,20519,11875,32394
88,18811,10286,29097
89,16531,8548,25079
90,14372,7232,21604
91,12023,5548,17571
92,10808,4563,15371
93,9142,3583,12725
94,5829,2156,7985
95,4255,1461,5716
96,3219,1003,4222
97,2211,632,2843
98,1461,337,1798
99,1036,265,1301
100,1580,299,1879
